2021-04-19 21:52:46.613 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hamengkubuwono IX, Alias)
2021-04-19 22:21:26.214 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.216 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.219 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.223 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.225 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.227 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.229 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.231 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.232 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.234 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.236 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
